city,station,lng,lat
枣庄市,山亭区环保局,117.4518,35.0992
东营市,西城阳光环保公司,118.5019,37.4658
东营市,市环保局,118.6672,37.4314
东营市,耿井村,118.5857,37.4442
东营市,开发区管委会,118.696,37.43445
烟台市,开发区,121.2514,37.5639
烟台市,轴承厂,121.3719,37.5433
烟台市,西郊化工站,121.3181,37.5436
烟台市,莱山环保局,121.4478,37.4822
烟台市,福山环保局,121.2611,37.4967
烟台市,牟平检察院,121.5992,37.4014
莱州市,莱州环保局,119.941,37.177
莱州市,莱州外经委,119.959,37.18
蓬莱市,蓬莱环保局,120.747,37.825
蓬莱市,蓬莱博物馆,120.773,37.809
招远市,招远环保局,120.399,37.374
招远市,招远教育局,120.394,37.364
潍坊市,仲裁委,119.12,36.7019
潍坊市,环保局,119.1425,36.7008
潍坊市,寒亭监测站,119.1939,36.7731
潍坊市,坊子邮政,119.1638,36.6525
潍坊市,潍坊七中,119.0586,36.7225
寿光市,监测站,118.746,36.881
寿光市,世纪学校,118.78,36.864
济宁市,火炬城,116.6305,35.428
济宁市,监测站,116.5856,35.4144
济宁市,电化厂,116.5546,35.4039
泰安市,监测站,117.1436,36.1942
泰安市,人口学校,117.0881,36.1942
泰安市,电力学校,117.1081,36.1758
威海市,华夏技校,122.1206,37.4294
威海市,山大分校,122.0508,37.5325
威海市,市监测站,122.1067,37.5072
文登市,文登市环保局,122.038,37.197
文登市,文登市丝绸公司,122.019,37.187
荣成市,荣成市环保局办公楼,122.471,37.154
荣成市,山东成山轮胎公司,122.41,37.161
乳山市,乳山市环保局,121.531,36.913
乳山市,乳山市气象局,121.544,36.907
日照市,监测站,119.4641,35.4178
日照市,市政府广场,119.5198,35.4234
日照市,港务局,119.54,35.3962
莱芜市,技术学院,117.6789,36.2289
莱芜市,泰兴公司,117.7181,36.2092
莱芜市,莱芜战役纪念馆,117.6983,36.2211
临沂市,沂河小区,118.3418,35.0573
临沂市,鲁南制药厂,118.2939,35.0622
临沂市,新光毛纺厂,118.2764,34.9817
临沂市,河东保险公司,118.4023,35.0896
德州市,儿童乐园,116.3061,37.4664
德州市,监理站,116.3189,37.4489
德州市,九衢泉纯净水厂,116.2714,37.4372
聊城市,区政府,115.9848,36.4372
聊城市,党校,115.9835,36.4796
聊城市,聊大东校,116.0072,36.4343
滨州市,市环保局,118.0062,37.3803
滨州市,第二水厂,118.0018,37.3617
滨州市,北中新校,117.9776,37.393
菏泽市,市气象局,115.42277,35.248889
菏泽市,市政协,115.474722,35.2375
菏泽市,菏泽学院,115.455,35.27
太原市,尖草坪,112.522,37.8873
太原市,上兰,112.434,38.0108
太原市,晋源,112.469,37.7124
太原市,小店,112.5583,37.7394
太原市,桃园,112.5369,37.8692
太原市,坞城,112.57,37.8195
太原市,南寨,112.549,37.9854
太原市,金胜,112.488,37.7805
太原市,巨轮,112.5628,37.8964
大同市,果树场,113.3819,40.1097
